name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,r2,0.00694502911987005,2.6
2_DecisionTree,Decision Tree,r2,0.00694502911987005,2.81
3_DecisionTree,Decision Tree,r2,0.00694502911987005,2.71
4_Linear,Linear,r2,-0.018719469440013237,3.5
5_Default_LightGBM,LightGBM,r2,-0.01605742441163094,10.51
6_Default_Xgboost,Xgboost,r2,-0.015049795491495432,32.98
7_Default_CatBoost,CatBoost,r2,-0.01590618459793558,6.73
8_Default_NeuralNetwork,Neural Network,r2,-0.016237147617137904,13.84
9_Default_RandomForest,Random Forest,r2,-0.015500280527418253,8.82
10_Default_ExtraTrees,Extra Trees,r2,-0.01570853632588398,7.54
20_LightGBM,LightGBM,r2,-0.01605742441163094,17.58
11_Xgboost,Xgboost,r2,-0.01505309629047713,32.86
29_CatBoost,CatBoost,r2,-0.015857635946755266,9.18
38_RandomForest,Random Forest,r2,-0.015357005049070338,9.23
47_ExtraTrees,Extra Trees,r2,-0.015560378353975501,8.6
56_NeuralNetwork,Neural Network,r2,-0.018167766912478234,7.38
21_LightGBM,LightGBM,r2,-0.01603699136896175,6.73
12_Xgboost,Xgboost,r2,-0.015038364264314596,25.34
30_CatBoost,CatBoost,r2,-0.014976937412443547,8.74
39_RandomForest,Random Forest,r2,-0.01531530124699132,9.0
48_ExtraTrees,Extra Trees,r2,-0.01632746864673762,8.67
57_NeuralNetwork,Neural Network,r2,-0.016103838304390328,14.47
22_LightGBM,LightGBM,r2,-0.01605742441163094,11.83
13_Xgboost,Xgboost,r2,-0.015083063097454774,23.82
31_CatBoost,CatBoost,r2,-0.015936960660572375,8.24
40_RandomForest,Random Forest,r2,-0.015268247675968905,10.44
49_ExtraTrees,Extra Trees,r2,-0.015488690314167775,8.24
58_NeuralNetwork,Neural Network,r2,-0.01898689379466023,14.15
23_LightGBM,LightGBM,r2,-0.01605742441163094,12.57
14_Xgboost,Xgboost,r2,-0.014990596215085583,24.93
32_CatBoost,CatBoost,r2,-0.015009552793683767,8.6
41_RandomForest,Random Forest,r2,-0.015341640595626371,13.64
50_ExtraTrees,Extra Trees,r2,-0.015488690314167775,8.94
59_NeuralNetwork,Neural Network,r2,-0.016283087820862407,13.98
24_LightGBM,LightGBM,r2,-0.01603699136896175,9.43
15_Xgboost,Xgboost,r2,-0.015038492280216476,37.18
33_CatBoost,CatBoost,r2,-0.015161133159058648,9.53
42_RandomForest,Random Forest,r2,-0.015514403601694537,11.64
51_ExtraTrees,Extra Trees,r2,-0.015488690314167775,11.26
60_NeuralNetwork,Neural Network,r2,-0.015950005991232974,16.35
25_LightGBM,LightGBM,r2,-0.01605742441163094,17.79
16_Xgboost,Xgboost,r2,-0.015061816113386417,29.45
34_CatBoost,CatBoost,r2,-0.014832188189405349,11.93
43_RandomForest,Random Forest,r2,-0.015474666298249673,12.89
52_ExtraTrees,Extra Trees,r2,-0.015488690314167775,10.73
61_NeuralNetwork,Neural Network,r2,-0.017417188105814718,19.76
26_LightGBM,LightGBM,r2,-0.01605742441163094,16.87
17_Xgboost,Xgboost,r2,-0.015032654893730513,38.51
35_CatBoost,CatBoost,r2,-0.014975925720963179,15.04
44_RandomForest,Random Forest,r2,-0.01535857337447566,13.78
53_ExtraTrees,Extra Trees,r2,-0.015528631201666476,13.53
62_NeuralNetwork,Neural Network,r2,-0.016075898746082062,16.45
27_LightGBM,LightGBM,r2,-0.016052971248825543,15.5
18_Xgboost,Xgboost,r2,-0.015041626640182715,33.34
36_CatBoost,CatBoost,r2,-0.015088611816482578,12.12
45_RandomForest,Random Forest,r2,-0.015413542906248079,16.72
54_ExtraTrees,Extra Trees,r2,-0.01556981471270924,12.9
63_NeuralNetwork,Neural Network,r2,-0.019266775336970854,19.39
28_LightGBM,LightGBM,r2,-0.01605742441163094,19.34
19_Xgboost,Xgboost,r2,-0.01503129556707905,47.53
37_CatBoost,CatBoost,r2,-0.01591997475258089,21.02
46_RandomForest,Random Forest,r2,-0.015571860744546528,16.67
55_ExtraTrees,Extra Trees,r2,-0.015488690314167775,14.46
64_NeuralNetwork,Neural Network,r2,-0.017302338023535757,19.0
1_DecisionTree_KMeansFeatures,Decision Tree,r2,0.00694502911987005,12.18
