name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Linear,Linear,r2,-0.018703969977560186,17.3,0.0698
2_Default_LightGBM,LightGBM,r2,-0.010195882818151203,12.79,0.0496
3_Default_Xgboost,Xgboost,r2,-0.009130556655849942,23.65,0.0704
4_Default_CatBoost,CatBoost,r2,-0.009699556540837984,5.4,0.0681
5_Default_NeuralNetwork,Neural Network,r2,-0.015311682890153833,6.57,0.066
6_Default_RandomForest,Random Forest,r2,-0.014399747798285567,16.97,0.1086
11_LightGBM,LightGBM,r2,-0.01174267340101176,27.81,0.051
7_Xgboost,Xgboost,r2,-0.011064531527751775,43.99,0.0694
15_CatBoost,CatBoost,r2,-0.00977661270636121,6.44,0.0516
19_RandomForest,Random Forest,r2,-0.013321676623556211,13.89,0.0991
23_NeuralNetwork,Neural Network,r2,-0.01844140749394918,6.34,0.0663
12_LightGBM,LightGBM,r2,-0.010436913167902295,13.36,0.0483
8_Xgboost,Xgboost,r2,-0.011421296517615032,25.02,0.0687
16_CatBoost,CatBoost,r2,-0.009584058036528287,6.71,0.0507
20_RandomForest,Random Forest,r2,-0.011976117721579582,16.09,0.0922
24_NeuralNetwork,Neural Network,r2,-0.018077282777039017,7.65,0.0667
13_LightGBM,LightGBM,r2,-0.009765590907881982,17.59,0.049
9_Xgboost,Xgboost,r2,-0.010945189021610346,24.93,0.0703
17_CatBoost,CatBoost,r2,-0.01050759837454418,13.8,0.0523
21_RandomForest,Random Forest,r2,-0.01476005768147104,15.41,0.0933
25_NeuralNetwork,Neural Network,r2,-0.01506478437149883,9.22,0.0692
14_LightGBM,LightGBM,r2,-0.010696094718875226,18.33,0.0488
10_Xgboost,Xgboost,r2,-0.011318250353337334,37.72,0.0855
18_CatBoost,CatBoost,r2,-0.010660635159668308,12.28,0.091
22_RandomForest,Random Forest,r2,-0.013744951641566638,19.27,0.0881
26_NeuralNetwork,Neural Network,r2,-0.017004136412860582,9.17,0.0715
